:0 쉼표 |  |  |  |  |  |  |  |  | :9 니로나 | :0 청태 나니로 |  |  |  | :0 청태 니레 | :2 청황 니나 :8 청태 니레 | :0 청임 떠이어표 |  | :0 같은음표 니레 | :8 청중 흘림표 
 :0 태 | :0 임 |  | :2 황 :8 태 | :0 임 | :0 태 | :0 황 |  | :0 황 | :0 배임 | :0 태 | :2 황 :8 태 | :0 임 | :2 황 :8 태 | :0 임 | :2 임 :8 태 | :0 황 |  | :2 황 :8 태 | :2 임 :8 중 
 :0 태 |  |  |  |  |  | :0 태 | :0 배임 | :2 황 :8 태 | :2 임 :8 중 | :0 태 |  | :0 황 |  | :0 태 |  | :0 황 |  | :0 배남 | :0 배임 
 :0 배임 |  | :0 황 |  | :0 태 |  | :0 황 |  | :0 배남 | :0 배임 | :0 태 | :2 황 :8 태 | :0 임 |  | :0 중 | :2 요성표 :8 태 | :0 황 |  | :2 배임 :8 황 | :2 태 :8 황 
 :2 중 :8 황 | :0 배임 | :0 황 |  |  |  | :5 황 |  | :0 배남 | :2 황 :8 태 | :0 임 | :2 임 :8 태 | :0 황 |  | :2 태 :8 황 | :0 배임 | :0 황 |  | :0 배중 미는표 | :0 배임 
 :0 태 | :2 황 :8 태 | :0 임 | :2 황 :8 태 | :0 임 | :2 임 :8 태 | :0 황 |  | :2 황 :8 태 | :2 임 :8 중 | :0 태 | :0 황 | :0 태 | :0 황 | :0 배남 | :0 배임 | :0 배남 |  | :0 배남 | :0 배임 
 :0 황 | :8 태 | :0 중 | :0 황 | :0 태 | :2 황 :8 태 | :0 임 |  | :2 황 :8 태 | :2 임 :8 중 | :0 태 | :0 황 | :0 태 | :0 황 | :0 배남 | :0 배임 | :0 황 |  | :2 배임 :8 황 | :2 태 :8 황 
 :2 중 :8 황 | :0 배임 | :0 황 |  |  |  | :5 황 |  | :0 배남 | :0 황 | :0 배임 |  | :0 배중 | :0 배남 | :0 황 | :0 태 | :0 배남 |  | :0 배남 | :0 배임 
 :0 배남 |  | :0 배임 |  | :0 황 | :0 배임 | :0 배남 |  | :0 배남 | :0 배임 | :0 태 | :2 황 :8 태 | :0 임 |  | :0 중 | :2 요성표 :8 태 | :0 황 |  | :0 황 |  
 :0 황 |  | :0 태 |  | :0 황 | :0 태 | :0 배남 |  | :0 배남 | :0 배임 | :0 태 | :2 황 :8 태 | :0 임 | :2 황 :8 태 | :0 임 | :2 임 :8 태 | :0 황 |  | :2 배임 :8 황 | :2 태 :8 황 
 :2 중 :8 황 | :0 배임 | :0 황 |  |  |  | :5 황 |  | :0 배남 | :2 황 :8 태 | :0 임 | :2 임 :8 태 | :0 황 |  | :2 태 :8 황 | :0 배임 | :0 황 |  | :0 배중 미는표 | :0 배임

:0 배태 |  | :0 배태 |  | :0 하배태 |  | :0 배태 |  | :0 하배태 |  | :0 배태 |  | :0 배태 |  | :0 배태 | :2 배황 :8 배태 | :0 배임 |  | :0 배임 |  
 :0 배태 |  | :0 배태 | :2 배황 :8 배태 | :0 배임 |  | :0 배남 |  | :0 배남 | :0 배임 | :0 배태 | :2 배황 :8 배태 | :2 배임 :8 배태 | :2 배황 :8 배태 | :2 배임 :8 배남 | :2 배임 :8 배태 | :0 배황 | :8 하배임 | :2 배황 :8 하배임 | :0 배태 
 :0 배황 |  | :0 배황 |  | :0 하배황 |  | :0 황 |  | :2 배임 :8 배태 | :2 배황 :8 배태 | :2 배임 :8 배남 | :2 배임 :8 배태 | :0 배황 |  | :1 배중 :3 배태 :8 배황 | :0 하배임 | :0 배황 | :2 하배임 :8 배황 | :2 하배태 :8 하배황 | :0 하배임 
 :0 배태 |  | :0 배황 |  | :0 하배황 |  | :0 배황 |  | :0 배태 | :0 배황 | :0 하배임 |  | :0 배태 |  | :0 배황 | :0 하배임 | :0 배태 | :2 배황 :8 배태 | :0 배임 | :1 배중 :3 배태 :8 배황 
 :0 하배임 |  | :0 배황 |  | :0 하배황 |  | :0 배황 | :8 하배임 | :2 배황 :8 하배임 | :0 배태 | :0 배황 |  | :0 배황 |  | :0 하배황 |  | :0 하배임 |  | :0 하배태 | :0 하배황 
 :0 배남 |  | :0 배남 | :2 배임 :8 배남 | :0 황 | :2 태 :8 황 | :0 배남 | :2 배임 :8 배남 | :0 황 | :1 배남 :3 배임 | :0 배태 | :2 배황 :8 배태 | :2 배임 :8 배태 | :2 배황 :8 배태 | :2 배임 :8 배남 | :2 배임 :8 배태 | :0 배황 | :8 하배임 | :2 배황 :8 하배임 | :0 배태 
 :0 배황 |  | :0 배황 |  | :0 하배황 |  | :0 황 |  | :2 배임 :8 배태 | :2 배황 :8 배태 | :2 배임 :8 배남 | :2 배임 :8 배태 | :0 배황 |  | :1 배중 :3 배태 :8 배황 | :0 하배임 | :0 배황 | :2 하배임 :8 배황 | :2 하배태 :8 하배황 | :0 하배임 
 :2 배태 :8 배황 | :0 배임 | :0 배임 | :2 배태 :8 배황 | :0 배임 | :0 배태 흘림표 | :0 배황 |  | :0 배황 | :0 하배임 | :0 배태 | :2 배황 :8 배태 | :2 배임 :8 배태 | :2 배황 :8 배태 | :2 배임 :8 배남 | :2 배임 :8 배태 | :0 배황 | :8 하배임 | :2 배황 :8 하배임 | :0 배태 
 :0 배태 |  | :0 배태 |  | :0 하배태 |  | :0 배태 | :8 하배임 | :2 배황 :8 하배임 | :0 배태 | :0 배태 |  | :0 배태 |  | :0 하배태 |  | :0 배태 | :0 배임 | :2 배태 :8 배황 | :0 하배임 
 :0 배황 |  | :0 배황 | :0 하배임 | :0 배태 |  | :0 배황 | :8 배태 | :0 하배남 | :0 하배임 | :0 배태 | :2 배황 :8 배태 | :2 배임 :8 배태 | :2 배황 :8 배태 | :2 배임 :8 배남 | :2 배임 :8 배태 | :0 배황 | :8 하배임 | :2 배황 :8 하배임 | :0 배태 
 :0 배황 |  | :0 배황 |  | :0 하배황 |  | :0 황 |  | :2 배임 :8 배태 | :2 배황 :8 배태 | :2 배임 :8 배남 | :2 배임 :8 배태 | :0 배황 |  | :1 배중 :3 배태 :8 배황 | :0 하배임 | :0 배황 | :2 하배임 :8 배황 | :2 하배태 :8 하배황 | :0 하배임 
 :0 배태 | :2 배황 :8 배태 | :2 배임 :8 배태 | :2 배황 :8 배태 | :2 배임 :8 배남 | :2 배임 :8 배태 | :0 배황 |  | :0 배황 | :0 배중 | :0 배태 |  | :0 배태 | :0 배황 | :0 하배임 |  | :0 하배남 |  | :0 하배남 | :0 하배임 
 :0 배황 |  | :0 배중 | :0 배황 | :2 배태 :8 배중 | :2 배황 :8 배태 | :0 배임 |  | :2 배태 :8 배황 | :2 배임 :8 배중 | :0 배태 |  | :0 배태 | :2 배황 :8 배태 | :0 하배남 | :0 하배임 | :0 배황 | :8 하배임 | :2 배황 :8 하배임 | :0 배태 
 :0 배황 |  | :0 배황 |  | :0 하배황 |  | :0 하배임 |  | :0 하배태 | :0 하배황 | :0 배남 |  | :0 배남 | :2 배임 :8 배남 | :0 황 | :2 태 :8 황 | :0 배남 |  | :0 배남 | :0 배임 
 :0 배남 |  | :0 배임 |  | :0 배태 | :0 배임 | :0 배남 | :2 배임 :8 배남 | :0 황 | :1 배남 :3 배임 | :0 배태 | :2 배황 :8 배태 | :0 배임 | :8 배태 | :0 배임 | :0 배태 흘림표 | :0 배황 |  | :0 배황 | :0 배태 
 :0 배임 |  | :0 배임 | :0 배남 | :0 황 | :2 태 :8 황 | :0 배남 | :2 배임 :8 배남 | :0 황 | :1 배남 :3 배임 | :0 배태 | :2 배황 :8 배태 | :2 배임 :8 배태 | :2 배황 :8 배태 | :2 배임 :8 배남 | :2 배임 :8 배태 | :0 배황 | :8 하배임 | :2 배황 :8 하배임 | :0 배태 
 :0 배황 |  | :0 배황 |  | :0 하배황 |  | :0 황 |  | :2 배임 :8 배태 | :2 배황 :8 배태 | :2 배임 :8 배남 | :2 배임 :8 배태 | :0 배황 |  | :1 배중 :3 배태 :8 배황 | :0 하배임 | :0 배황 | :2 하배임 :8 배황 | :2 하배태 :8 하배황 | :0 하배임

:0 하배태 슬기둥1 |  | :0 하배태 |  | :0 하배황 |  | :0 하배태 |  | :0 하배임 | :0 하하배임 | :0 하배태 슬기둥1 |  | :0 하배태 |  | :0 하배태 |  | :0 하배임 |  | :0 하배임 | :0 하배남 
 :0 하배태 슬기둥1 |  | :0 하배태 |  | :0 하배임 |  | :0 하배남 |  | :0 하배남 | :0 하배임 | :0 하배태 |  | :0 하배임 | :0 하배태 | :0 하배태 |  | :0 배황 |  | :0 하배임 | :0 배태 
 :0 배황 슬기둥1 |  | :0 배황 |  | :1 느니 :3 하배임 전성 :8 하배임 자출 |  | :0 하배태 |  | :0 하배임 | :0 하배태 | :0 하배태 |  | :0 배황 |  | :0 하배황 |  | :0 배황 |  | :0 하배임 | :0 하하배임 반길이표/덧길이표 
 :0 배태 |  | :0 배황 |  | :0 하배황 |  | :0 배황 |  | :0 배태 | :0 배황 자출 | :0 하배임 |  | :0 배태 |  | :0 배황 | :0 하배임 | :0 배태 | :2 배황 :8 배태 자출 | :0 배임 | :1 배중 :3 배태 :8 배황 자출 
 :0 하배임 |  | :0 배황 |  | :0 하배황 |  | :0 배황 |  | :0 하배임 | :0 배태 | :0 배황 슬기둥1 |  | :0 배황 |  | :0 하배황 |  | :0 하배임 |  | :0 하배임 | :0 하배임 
 :0 하배남 슬기둥1 |  | :0 하배남 | :0 하배임 | :0 배황 | :0 배태 | :0 하배남 |  | :0 하배남 | :0 하배임 | :0 하배태 |  | :0 하배임 | :0 하배태 | :0 하배태 |  | :0 배황 |  | :0 하배임 | :0 배태 
 :0 배황 슬기둥1 |  | :0 배황 |  | :1 느니 :3 하배임 전성 :8 하배임 자출 |  | :0 하배태 |  | :0 하배임 | :0 하배태 | :0 하배태 |  | :0 배황 |  | :0 하배황 |  | :0 배황 |  | :0 하배임 | :0 하하배임 
 :0 배태 | :0 배임 | :0 배임 | :0 배태 | :0 배임 | :0 배태 전성 | :0 배황 |  | :0 배황 | :0 하배임 | :0 배태 |  | :0 배임 | :0 배태 | :0 배임 | :0 배태 전성 | :0 배황 |  | :0 하배임 | :0 배태 
 :0 배태 슬기둥1 |  | :0 배태 |  | :0 하배황 |  | :2 배태 :8 배황 자출 | :2 하배임 :8 하배임 | :2 배황 :8 배태 자출 | :0 배임 | :0 배태 슬기둥1 |  | :0 배태 |  | :0 배임 | :1 배중 :3 배태 | :0 배임 | :0 배임 | :2 배태 :8 배황 자출 | :2 하배임 :8 하배임 
 :0 배황 슬기둥1 |  | :0 배황 | :0 하배임 | :0 배태 |  | :0 배황 | :8 배태 자출 | :0 하배남 | :0 하배임 | :0 하배태 |  | :0 하배임 | :0 하배태 | :0 하배태 |  | :0 배황 |  | :0 하배임 | :0 배태 
 :0 배황 슬기둥1 |  | :0 배황 |  | :1 퇴성 :3 하배임 전성 :8 하배임 자출 |  | :0 하배태 |  | :0 하배임 | :0 하배태 | :0 하배태 |  | :0 배황 |  | :0 하배황 |  | :0 배황 |  | :0 하배임 | :0 하하배임 
 :0 배태 |  | :0 배임 | :0 배태 | :0 배임 | :0 배태 전성 | :0 배황 |  | :0 하배임 | :0 배태 | :0 배태 슬기둥1 |  | :0 배태 | :0 배황 자출 | :0 하배임 |  | :0 하배남 |  | :0 하배남 | :0 하배임 
 :0 배황 슬기둥1 |  | :0 배황 | :0 하배임 | :0 배태 |  | :0 배임 |  | :0 배태 | :0 배임 | :0 배태 |  | :0 배태 | :0 배황 자출 | :0 하배남 | :0 하배임 | :0 배황 |  | :0 하배임 | :0 배태 
 :0 배황 슬기둥1 |  | :0 배황 |  | :0 하배황 |  | :0 하배임 |  | :0 하배임 | :0 하배임 | :0 하배남 슬기둥1 |  | :0 하배남 | :0 하배임 | :0 배황 | :0 배태 | :0 하배남 |  | :0 하배남 | :0 하배임 
 :0 하배남 |  | :0 하배임 |  | :0 하배태 | :0 하배임 | :0 하배남 |  | :0 하배남 | :0 하배임 | :0 하배태 |  | :0 하배임 |  | :0 하배임 | :0 하배태 자출 | :0 하배황 |  | :0 하배황 | :0 하배태 자출 
 :0 하배남 슬기둥1 |  | :0 하배남 | :0 하배임 | :0 배황 | :0 배태 | :0 하배남 |  | :0 하배남 | :0 하배임 | :0 하배태 |  | :0 하배임 | :0 하배태 | :0 하배태 |  | :0 배황 |  | :0 하배임 | :0 배태 
 :0 배황 슬기둥1 |  | :0 배황 |  | :1 퇴성 :3 하배임 전성 :8 하배임 자출 |  | :0 하배태 |  | :0 하배임 | :0 하배태 | :0 하배태 |  | :0 배황 |  | :0 하배황 |  | :0 배황 |  | :0 하배임 | 
