:0 청임 | :0 청남 | :8 청임 | :0 청중 흘림표 | :2 청태 :8 니나* | :0 청태 나니로 
 :0 황 | :0 배남 | :2 황 :5 태 | :0 중 | :0 태 | :0 황 
 :0 배남 | :0 배남 | :0 배남 | :0 배남 | :0 배남 | :0 배임 
 :0 황 | :0 배남 | :0 배임 | :0 배남 | :0 배임 | :0 배남 
 :0 태 | :0 태 | :8 황 | :0 태 | :0 중 | :8 태 
 :0 중 | :0 배남 | :0 배임 | :0 배임 | :0 태 | :0 황 
 :0 황 | :0 배임 | :0 황 | :2 배남 :8 배임 | :0 황 | :0 황 
 :0 배임 | :0 황 | :2 배임 :5 배남 | :0 태 | :0 배남 | :0 배임 
 :0 황 | :0 배중 | :2 배중 :8 배태 | :0 배중 | :0 배남 | :0 배임 
 :0 황 | :0 배중 | :2 배중 :8 배태 | :0 배중 | :0 배남 | :8 배임 
 :0 배중 | :0 배남 | :0 배임 | :0 배중 | :0 배남 | :8 배임 
 :0 배중 | :8 배임 | :0 태 | :2 배남 :9 태 | :0 배남 | :0 배임 
 :0 배황 | :0 하배황 | :0 배황 | :0 배황 | :0 하배남 | :0 하배임 
 :0 배태 | :0 배황 | :0 하배남 | :0 배황 | :0 배태 | :0 배중 
 :0 배중 | :0 배태 | :0 배임 | :0 배태 | :0 배황 | :0 배태 
 :0 배임 | :2 배남 :8 배임 | :0 배남 | :0 태 | :0 배남 | :0 배임 
 :0 황 | :0 배중 |  | :0 배중 | :8 배남 | :0 배임 
 :0 황 | :8 배임 | :0 배남 | :0 배임 | :0 황 | :0 배임 
 :0 황 | :0 배중 | :2 배중 :8 배임 | :0 황 | :0 배임 | :0 배중 
 :0 배태 | :0 배임 | :2 배임 :8 배태 | :0 배임 | :0 배중 | :0 배태 
 :0 배임 | :0 배임 | :0 배임 | :0 배임 | :0 배임 | :0 배중 
 :0 배중 | :0 배임 | :0 황 | :0 배남 | :0 배남 | :0 배임 
 :2 배임 :8 배중 | :0 배임 | :0 황 | :0 배남 | :2 배남 :8 배임 | :0 배남 
 :0 태 | :0 배남 | :0 배임 | :0 배중 | :0 배임 | :0 배중 
 :0 배태 | :0 배중 | :0 배태 | :0 배임 | :0 배중 | :8 배태 
 :0 배황 | :0 하배임 | :0 배황 | :0 배황 | :0 배중 | :8 배황 
 :0 배중 | :0 배황 | :8 배태 | :0 배임 | :0 배중 | :0 배태 
 :0 배황 | :0 하배황 | :0 배황 | :0 배황 | :0 하배남 | :0 하배임

:0 배남 슬기둥1 |  | :0 배남 | :0 배남 | :0 배임 | :0 배임 
 :0 황 슬기둥1 |  | :0 황 | :0 배임 | :0 배남 | :0 배임 
 :0 배중 슬기둥1 |  | :0 배중 | :0 배태 | :0 배황 퇴성 추성 | :0 배태 
 :0 배임 슬기둥1 |  | :8 배중 | :0 배임 | :0 배중 | :0 배임 
 :0 배임 슬기둥1 |  | :0 배임 | :0 배임 | :0 황 자출 | :0 황 
 :0 황 | :0 배임 |  | :0 배임 | :0 황 자출 | :0 황 
 :0 황 | :0 배임 | :8 황 자출 | :0 배임 | :8 황 자출 | :0 배임 
 :0 황 | :0 배중 | :2 배중 전성 :5 배임 자출 | :0 태 | :0 배남 | :0 배임 
 :0 배중 슬기둥1 |  | :0 배중 | :0 배태 | :0 배황 퇴성 추성 | :0 배태 
 :0 배임 슬기둥1 |  | :8 배중 | :0 배임 | :0 배중 | :0 배임 
 :0 하배황 | :0 배남 | :0 하배황 | :0 배남 | :0 하배황 | :0 배남 퇴성 
 :0 황 슬기둥1 |  | :0 황 | :0 배임 | :0 배남 | :0 배임 
 :0 배중 슬기둥1 |  | :2 배중 :8 배태 | :0 배중 | :0 배남 | :0 배임 
 :0 배임 슬기둥1 |  | :0 배임 | :0 배임 | :0 황 자출 | :0 황 
 :0 배임 슬기둥1 |  | :0 배임 | :0 배임 | :0 배남 | :0 배임 
 :0 배중 슬기둥1 |  | :2 배중 :8 배태 | :0 배중 | :0 배남 | :0 배임 
 :0 배임 슬기둥1 |  | :0 배임 | :0 배중 자출 | :0 배임 | :0 배임 
 :0 배임 슬기둥1 |  | :0 배임 | :0 황 슬기둥1 |  | :0 황 
 :0 배남 슬기둥1 |  | :0 황 | :0 배남 | :0 황 | :0 배남 
 :0 중 슬기둥1 |  | :1 중 :3 중 | :0 중 | :0 중 | :0 중 
 :0 황 슬기둥1 |  | :0 황 | :0 황 | :0 배임 자출 | :0 태 
 :0 황 슬기둥1 |  | :0 황 | :0 황 | :0 배임 | :0 배임 
 :0 태 | :0 배임 | :0 배임 | :0 배남 | :0 황 자출 | :0 태 
 :0 중 슬기둥1 |  | :0 중 | :0 태 | :0 중 | :0 태 
 :0 배남 슬기둥1 |  | :0 황 | :0 배남 | :0 황 | :0 배남 
 :0 황 슬기둥1 |  | :0 황 | :0 배임 | :0 배남 | :0 배임 자출 
 :0 배중 슬기둥1 |  | :0 배중 | :0 배태 | :0 배황 퇴성 추성 | :0 배태 
 :0 배임 슬기둥1 |  | :8 배중 | :0 배임 | :0 배중 | :0 배임 
 :0 배중 | :8 배임 자출 | :0 황 | :0 배남 | :0 배남 | :0 배임 
 :0 황 | :0 배중 |  | :0 배중 | :8 배무 자출 | :0 배임 
 :0 황 | :8 배임 자출 | :0 배무 | :8 배임 자출 | :0 황 | :8 배임 자출 
 :0 황 | :0 배중 | :2 배중 전성 :5 배임 자출 | :0 황 | :0 배임 전성 | :0 배중 자출 
 :0 배태 슬기둥1 |  | :8 배태 | :0 배태 | :0 배황 퇴성 추성 | :0 배태 
 :0 배중 슬기둥1 |  | :2 배중 전성 :5 배임 자출 | :0 황 | :0 배임 전성 | :0 배중 자출 
 :0 배태 슬기둥1 |  | :8 배태 | :0 배태 | :0 배황 퇴성 추성 | :0 배태 
 :0 배중 | :0 배태 | :2 배중 :8 배무 자출 | :0 배중 자출 |  | :0 배중 
 :0 배황 |  | :0 배황 | :0 배황 | :0 배중 |  
 :0 배중 | :0 배황 | :0 배태 | :0 배임 | :0 배중 자출 | :0 배태 
 :0 하배황 | :0 배황 | :0 배황 | :0 하배황 | :0 배황 퇴성 | :0 배황 퇴성 
 :0 하배황 | :0 배황 | :0 배황 | :0 배황 | :0 배중 | :0 배중 
 :0 배중 | :0 배태 | :0 배중 | :0 배태 | :0 배중 | :0 배임 
 :0 배남 슬기둥1 |  | :0 배남 | :0 황 | :0 배남 | :0 배임 
 :0 황 | :0 배중 |  | :0 배중 | :8 배무 자출 | :0 배임 
 :0 배태 | :0 배임 | :8 배태 | :0 배임 | :0 배중 | :0 배임 
 :0 하배황 | :0 황 |  | :0 하배임 |  | :0 하배임 
 :0 하배황 | :0 황 |  | :0 하배황 | :0 태 |  
 :0 배남 슬기둥1 |  | :0 배남 | :0 배남 | :1 배남 :3 배남 | :0 배임 
 :0 황 자출 | :0 배임 | :8 황 자출 | :0 배임 | :0 황 자출 | :0 배임 
 :0 황 자출 | :0 배임 | :8 황 자출 | :0 배임 | :0 황 자출 | :0 배임 
 :0 황 | :0 배임 | :0 배임 | :0 배임 | :0 황 자출 | :0 황 
 :0 황 | :0 배임 | :8 황 자출 | :0 배임 | :8 황 자출 | :0 배임 
 :0 황 | :0 배중 | :2 배중 전성 :5 배임 자출 | :0 태 | :0 배남 | :0 배임 
 :0 배중 슬기둥1 |  | :0 배중 | :0 배중 | :0 배남 | :8 배임 자출 
 :0 배중 | :0 배남 | :0 배임 | :0 배중 | :0 배남 | :8 배임 자출 
 :0 배중 | :8 배무 자출 | :0 배임 | :0 배중 | :8 배무 자출 | :0 배임 
 :0 황 | :0 태 | :8 태 | :0 황 |  | :0 황 
 :0 하배황 | :0 배황 | :0 배황 | :0 하배황 | :0 배황 퇴성 | :0 배황 퇴성 
 :0 하배황 | :0 배황 | :0 배황 | :0 배황 | :0 배중 | :0 배중 
 :0 배중 | :0 배태 | :0 배중 | :0 배태 | :0 배중 | :0 배임 
 :0 배남 슬기둥1 |  | :0 배남 | :0 황 | :0 배남 | :0 배임 
 :0 황 | :0 배중 |  | :0 배중 | :8 배무 자출 | :0 배임 
 :0 황 | :8 배임 자출 | :0 배무 | :8 배임 자출 | :0 황 | :8 배임 자출 
 :0 황 | :0 배중 | :0 배중 | :0 황 | :2 배임 :8 배무 자출 | :2 배임 :8 배중 자출 
 :0 배태 | :0 배임 | :8 배태 | :0 배임 | :0 배중 | :0 배임 
 :0 배임 슬기둥1 |  | :0 배임 | :0 배임 슬기둥1 |  | :0 배임 
 :0 배중 | :0 배임 | :0 황 | :0 배남 | :0 배남 | :0 배임 
 :0 배중 | :0 배임 | :0 황 | :0 배남 | :0 배남 | :0 배임 
 :0 태 | :0 배남 | :0 배임 | :0 배중 | :0 배임 | :0 배중 자출 
 :0 배중 | :0 배태 | :0 배중 | :0 배임 | :0 황 |  
 :0 황 | :0 배황 |  | :0 배황 | :0 배중 |  
 :0 배중 | :0 배황 | :0 배태 | :0 배임 | :0 배중 자출 | :0 배태 
 :0 하배황 | :0 배황 | :0 배황 | :0 하배황 | :0 배황 퇴성 | :0 배황 퇴성
